days_since_last_purchase,purchase_frequency,avg_session_duration_min,cart_abandonment_rate,total_spend_usd,num_support_tickets,pages_per_session,discount_usage_rate,email_open_rate,preferred_device,membership_tier,churned
9,10,19.7,0.133,617.9,0,10.2,0.242,0.756,tablet,gold,0
82,3,7.9,0.266,41.3,0,6.8,0.594,0.297,mobile,silver,1
3,8,20.1,0.09,359.62,0,7.8,0.084,0.942,desktop,silver,0
18,12,19.7,,,0,12.9,0.028,0.817,mobile,gold,0
244,1,2.4,0.652,41.31,2,4.2,0.556,0.112,mobile,bronze,1
11,1,3.9,0.969,19.15,4,2.3,0.452,0.156,desktop,silver,1
179,0,0.5,0.863,,2,1.5,0.692,0.129,mobile,bronze,0
50,2,8.0,0.569,143.24,0,3.7,0.312,0.338,desktop,silver,1
28,8,22.7,,154.22,0,10.6,0.237,0.579,mobile,silver,0
28,6,18.6,0.494,71.75,1,12.4,0.116,0.756,desktop,bronze,1
21,0,1.8,0.869,11.42,2,5.4,0.702,0.202,mobile,bronze,0
11,2,5.2,0.51,11.75,1,8.1,0.655,0.268,tablet,bronze,1
249,2,2.6,0.585,92.92,1,5.1,0.11,0.553,tablet,bronze,1
121,1,2.1,0.714,50.68,4,3.1,0.77,0.134,mobile,bronze,1
26,1,0.5,0.289,28.53,2,3.8,0.395,0.098,mobile,bronze,0
28,0,3.6,0.715,79.81,1,2.5,0.789,0.06,mobile,bronze,0
1,8,17.6,0.209,689.42,0,,0.154,0.523,desktop,gold,1
5,5,21.5,0.306,441.48,0,10.0,0.205,0.775,desktop,gold,0
2,13,20.5,0.056,2109.11,0,6.4,0.173,0.899,mobile,gold,0
234,1,,0.903,18.6,2,2.3,0.436,0.128,desktop,bronze,0
3,3,23.4,0.069,1436.41,1,11.4,0.371,0.768,mobile,platinum,0
68,2,2.3,0.696,60.24,3,2.0,0.538,0.088,mobile,bronze,1
365,1,2.8,0.786,62.98,3,1.1,0.453,0.239,desktop,gold,1
1,7,12.3,0.235,102.07,0,8.9,0.11,0.73,desktop,silver,0
26,15,11.0,0.417,2287.24,0,12.5,0.513,0.62,tablet,gold,0
3,7,10.5,0.335,154.48,0,11.6,0.113,0.723,desktop,silver,1
35,1,1.8,0.645,121.25,6,4.1,0.613,0.158,desktop,gold,1
44,7,13.7,0.161,6.34,0,12.7,0.185,0.346,mobile,gold,0
21,8,22.8,0.124,641.39,0,11.5,0.285,0.644,desktop,bronze,0
15,2,1.8,0.89,59.88,5,5.3,0.537,0.089,mobile,bronze,0
1,9,19.4,0.02,111.14,0,12.0,0.592,0.801,desktop,bronze,0
91,0,2.5,0.711,55.23,1,1.0,0.58,0.026,desktop,silver,1
99,2,0.5,0.918,63.68,2,2.1,0.502,0.025,mobile,gold,0
150,2,10.7,0.249,28.69,2,6.9,0.211,0.467,desktop,silver,0
56,3,2.1,0.478,16.5,0,6.0,0.527,0.199,mobile,bronze,0
98,1,5.6,0.876,119.72,2,3.8,0.224,0.703,mobile,bronze,1
44,7,3.4,0.402,76.55,1,13.7,0.09,0.398,mobile,gold,0
365,0,0.5,0.877,25.84,1,2.5,0.698,0.245,desktop,silver,1
16,7,16.7,0.04,11.01,0,6.8,0.197,0.17,mobile,gold,0
2,13,18.6,0.326,213.59,0,11.3,0.26,,tablet,gold,0
172,1,1.3,0.876,12.72,4,2.8,0.534,0.077,desktop,gold,1
3,3,12.1,0.267,808.14,0,13.3,0.321,0.832,mobile,bronze,0
25,1,5.3,,35.83,3,1.0,0.486,0.374,mobile,bronze,0
61,1,5.4,0.488,13.95,1,7.2,0.237,0.492,tablet,bronze,1
117,1,0.5,0.619,32.58,4,3.7,0.556,0.016,mobile,bronze,0
19,5,18.1,0.152,523.92,1,14.4,0.283,,desktop,bronze,0
5,6,23.5,0.5,1146.33,0,12.4,0.207,,mobile,silver,0
1,13,5.7,0.057,525.15,1,11.2,0.36,0.46,mobile,silver,0
28,6,17.0,0.004,260.12,0,10.5,0.254,,mobile,bronze,0
87,1,4.4,0.496,9.23,3,5.7,0.846,0.435,desktop,silver,0
122,3,3.5,0.182,128.38,2,4.5,0.477,0.302,desktop,silver,1
12,9,15.8,0.131,219.16,1,9.2,0.163,0.654,desktop,bronze,0
5,1,10.2,0.568,68.45,4,6.3,0.125,0.426,mobile,gold,0
132,5,11.0,0.442,296.51,0,4.5,0.325,0.174,desktop,bronze,1
14,7,,0.25,954.24,0,12.6,0.009,0.759,mobile,platinum,0
81,2,10.8,0.517,29.31,1,6.8,0.751,0.372,mobile,bronze,0
69,3,0.5,0.167,38.88,2,2.7,0.653,0.188,desktop,bronze,0
38,1,2.1,0.333,29.71,2,2.9,0.642,0.01,mobile,silver,1
98,0,4.8,0.849,,4,1.0,0.753,0.176,mobile,gold,0
7,7,7.2,,451.57,0,13.1,0.571,0.827,mobile,gold,0
5,7,16.1,0.042,420.37,0,11.8,0.308,,mobile,platinum,1
307,3,6.4,0.861,55.62,1,1.6,0.749,0.24,mobile,silver,1
5,2,4.7,0.138,6.28,2,4.4,0.29,0.25,mobile,bronze,0
5,8,21.4,0.141,477.71,0,14.6,0.182,0.522,mobile,gold,0
160,0,4.5,0.898,22.36,0,3.1,0.645,0.397,tablet,platinum,1
21,5,13.6,0.437,627.21,0,9.3,0.231,0.894,mobile,gold,0
77,0,3.4,0.737,1.46,3,4.8,0.334,0.493,mobile,silver,1
57,3,10.5,0.473,53.54,0,5.8,0.118,0.212,mobile,bronze,1
303,0,2.1,0.643,242.51,4,3.1,0.611,0.354,mobile,bronze,1
174,4,15.2,0.232,18.24,0,9.8,0.5,0.397,mobile,bronze,1
55,9,19.1,0.091,,0,6.6,0.108,0.964,mobile,platinum,0
161,0,5.7,0.865,187.55,2,3.2,0.785,0.067,desktop,bronze,1
79,1,3.7,0.78,42.24,4,,0.626,0.061,mobile,bronze,0
1,3,8.2,0.253,5.75,1,6.3,0.068,0.452,tablet,bronze,1
81,9,21.9,0.153,347.96,0,12.4,0.367,0.443,desktop,bronze,0
6,5,17.8,0.353,774.0,1,11.3,0.26,0.453,mobile,bronze,1
4,8,14.3,0.466,79.0,1,10.8,0.415,0.387,desktop,silver,0
32,2,0.5,0.37,11.22,0,4.0,0.668,0.088,mobile,silver,0
1,6,14.8,0.704,592.52,0,12.9,0.052,0.509,mobile,silver,1
67,0,4.5,0.753,5.92,2,4.3,0.425,0.119,mobile,bronze,1
66,4,,0.557,269.02,1,4.5,0.448,0.302,mobile,bronze,0
16,5,20.9,0.099,199.86,0,7.9,0.514,0.686,tablet,silver,0
21,9,17.7,0.086,365.23,0,12.4,0.203,0.809,mobile,silver,0
32,0,4.1,0.873,94.23,1,5.6,0.477,0.111,tablet,platinum,0
1,6,22.7,0.023,438.26,1,10.2,0.247,0.894,desktop,silver,0
18,6,29.8,0.201,653.33,0,7.9,0.223,0.523,mobile,platinum,1
25,7,17.4,0.044,4.56,0,13.0,0.105,0.961,mobile,silver,0
10,8,21.1,0.381,2.88,0,8.7,0.149,0.311,mobile,platinum,0
54,6,11.6,0.298,29.19,1,6.4,0.467,0.082,desktop,gold,1
5,9,10.6,0.033,268.4,1,11.4,0.456,0.459,desktop,gold,0
4,0,1.4,0.59,122.56,1,3.6,0.685,0.252,mobile,bronze,0
3,8,10.1,0.466,253.4,0,12.1,0.617,0.583,tablet,bronze,0
9,8,25.3,0.339,581.8,0,14.8,0.214,0.65,desktop,silver,0
37,12,19.9,0.181,187.37,0,15.4,0.592,0.809,desktop,platinum,0
35,9,17.3,0.068,104.91,0,5.7,0.129,0.425,desktop,gold,0
9,7,12.8,0.449,746.34,1,12.7,0.394,0.992,mobile,bronze,0
17,5,11.5,0.201,146.47,0,14.8,0.456,0.286,desktop,gold,0
25,5,16.4,0.101,525.65,0,11.9,0.118,0.75,desktop,platinum,0
65,0,6.1,0.726,65.48,3,5.3,0.48,0.243,mobile,bronze,1
4,0,3.8,0.684,68.11,4,2.3,0.585,0.194,desktop,bronze,1
71,1,3.5,0.816,10.62,0,4.0,0.648,0.424,mobile,bronze,0
19,6,22.0,0.032,251.66,0,15.0,0.229,0.462,desktop,gold,0
79,11,26.1,0.071,556.84,0,16.9,0.558,0.795,mobile,gold,0
8,11,16.0,0.239,61.28,0,17.5,0.587,0.588,desktop,silver,0
120,0,4.4,0.25,69.56,0,2.8,0.331,0.563,mobile,bronze,0
13,2,6.0,0.887,24.78,1,,0.567,0.114,mobile,gold,0
6,8,16.4,0.099,181.82,1,10.0,0.323,0.198,desktop,silver,0
14,6,14.7,0.22,195.37,0,13.7,0.197,0.517,tablet,platinum,0
174,1,6.2,0.642,50.32,1,6.0,0.311,0.22,desktop,bronze,1
365,2,2.5,0.664,46.91,4,1.7,0.249,0.01,mobile,bronze,0
365,0,3.8,0.838,11.91,5,6.4,0.626,0.058,mobile,gold,1
240,0,2.1,,32.39,6,5.2,0.502,0.03,mobile,bronze,0
140,3,3.8,0.262,17.69,0,7.6,0.235,0.178,tablet,bronze,1
1,2,8.2,0.495,32.23,1,1.0,0.609,0.255,desktop,bronze,0
1,7,18.5,0.488,723.35,0,11.5,0.156,0.358,desktop,gold,0
